range_lik,label,n,mean,median,frac_le_2_05
beta_constrained,beta_constrained,366,4.843433596928009,5.318382807091401,0.09289617486338798
beta,plain Beta,366,4.887768741214533,5.305588739335425,0.07103825136612021
zero_inflated_beta,ZOIB,366,4.7215417942641835,4.995810828074422,0.1366120218579235
interval_inflated_beta,IIB@0.9,366,5.479865383249372,5.597855204085886,0.0
