rank_by_loo,fingerprint,status,error,features,likelihoods,n_chunks,tau_threshold,window_size_hours,step_size_hours,rem_stage,loo,elpd_loo,elpd_loo_per_event,elpd_loo_per_feature,se_elpd_per_feature,elpd_loo_per_feature_event,se_elpd_per_feature_event,waic,r_hat_max,ess_min_bulk,ess_min_tail,bfmi,n_divergences,tau_map,tau_map_concentration,p_tau_gt_threshold,e_tau,tau_std,tau_q1,tau_q2,tau_q3,p_tau_gt_6,loo_pareto_k_max,loo_n_over_threshold,pareto_filtered,pareto_filter_reason,waic_warning_flag,n_feature_blocks,n_active_features,n_model_events,pareto_retry_count,removed_event_indices,elapsed_time,data_shape,data_output_dir,bad_sample_indices,config_json,source_run_dir,source_profile_dir
97,7f96c3e09be55648,ok,,"concat: mean; odd: mean, range",mean=student_t; range=beta,16,5.0,6,1,2,312.92120591195066,312.92120591195066,10.43070686373169,3.476902287910563,0.0124792432612649,3.476902287910563,0.0124792432612649,-626.8451181336986,1.0,2819.0,1841.0,0.9713256563559276,0,5,0.8655513759597568,0.0605565753846747,5.063670170854612,0.2585883297894876,4.26610349753007,4.532222687396667,4.798341877263264,0.0026885544302959,0.9925055164808504,2,False,,False,3,3,30,0,[],38.029350792989135,"(30, 152)",,[],"{""feature_selection"": {""concat"": [""mean""], ""odd"": [""mean"", ""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""beta""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 6}, ""tau_threshold"": 5.0}",run_output_8day_rem_w6_s1_stage2_no_pareto,rem_w6_s1_stage2
68,f23bc02b957c9ade,ok,,"concat: mean, range; even: range",mean=student_t; range=lognormal,16,5.0,3,1,2,312.2047859997981,312.2047859997981,10.40682619999327,3.4689420666644244,0.0098839522058069,3.4689420666644244,0.0098839522058069,-625.4704520138417,1.0,1587.0,1595.0,0.997076093288678,0,7,0.5029644367844843,0.9462166924568044,6.830432634164614,0.7434662822782224,6.1037773166138,6.441022881373218,6.778268446132637,0.8269300826000718,0.8435688303532977,1,False,,False,3,3,30,0,[],23.63458359899232,"(30, 176)",,[],"{""feature_selection"": {""concat"": [""mean"", ""range""], ""even"": [""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 3}, ""tau_threshold"": 5.0}",run_output_8day_rem_w3_s1_stage2_no_pareto,rem_w3_s1_stage2
146,f2358c754d0a0e97,ok,,"concat: mean, range; even: mean; odd: range",mean=lognormal; range=lognormal,16,5.0,2,2,2,416.0973523656656,416.0973523656656,13.869911745522188,3.4674779363805466,0.0110952530907258,3.4674779363805466,0.0110952530907258,-833.2127694087036,1.0,3005.0,2737.0,1.0312592657996615,0,7,0.8161385237022345,0.9990340553236297,6.91930358970835,0.2948323856873041,6.181298641070861,6.456173164999706,6.731047688928552,0.9148921828763154,0.8991227600820321,4,False,,False,4,4,30,0,[],15.92729123000754,"(30, 96)",,[],"{""feature_selection"": {""concat"": [""mean"", ""range""], ""even"": [""mean""], ""odd"": [""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}, ""range"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 2, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s2_stage2_no_pareto,rem_w2_s2_stage2
215,f62255214f318d72,ok,,"concat: mean; even: mean, range; odd: mean, range",mean=student_t; range=beta,16,5.0,3,1,2,519.6154466076301,519.6154466076301,17.320514886921003,3.4641029773842,0.0103733355700578,3.4641029773842,0.0103733355700578,-1042.9130226159386,1.03,222.0,78.0,1.0188467271743449,0,8,0.6922961589172638,0.9534682092174382,7.666216263834977,1.0646568896797377,7.133037508161148,7.422025005440765,7.711012502720383,0.9321099155546884,1.0901953911351894,3,False,,False,5,5,30,0,[],82.91372598399175,"(30, 176)",,[],"{""feature_selection"": {""concat"": [""mean""], ""even"": [""mean"", ""range""], ""odd"": [""mean"", ""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""beta""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 3}, ""tau_threshold"": 5.0}",run_output_8day_rem_w3_s1_stage2_no_pareto,rem_w3_s1_stage2
149,cd25abdc48a6affb,ok,,"concat: mean, range; even: range; odd: mean",mean=lognormal; range=beta,16,5.0,2,2,2,414.5133705299604,414.5133705299604,13.81711235099868,3.4542780877496693,0.0133614581595539,3.4542780877496693,0.0133614581595539,-825.8760660221506,1.0,1867.0,1627.0,0.9715381388973522,0,7,0.8760867454001315,0.9999106382604134,6.953006268651358,0.2273507472672117,6.211082054920624,6.475228103679945,6.739374152439266,0.9497777895146112,1.2606866975707305,4,False,,False,4,4,30,0,[],41.08654578198912,"(30, 96)",,[],"{""feature_selection"": {""concat"": [""mean"", ""range""], ""even"": [""range""], ""odd"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}, ""range"": {""likelihood"": ""beta""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 2, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s2_stage2_no_pareto,rem_w2_s2_stage2
167,e407f13bec59c884,ok,,"concat: mean; even: mean, range; odd: range",mean=student_t; range=beta,16,5.0,3,1,2,414.19109270098687,414.19109270098687,13.806369756699562,3.4515924391748904,0.0086495859533012,3.4515924391748904,0.0086495859533012,-828.0707000487654,1.01,312.0,137.0,1.021307104215624,0,8,0.5884195166387183,0.8953500119490869,7.376415766429654,1.4966378986782292,7.056453833979039,7.370969222652693,7.685484611326347,0.8793096476519692,1.056151087633398,2,False,,False,4,4,30,0,[],66.85909296304453,"(30, 176)",,[],"{""feature_selection"": {""concat"": [""mean""], ""even"": [""mean"", ""range""], ""odd"": [""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""beta""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 3}, ""tau_threshold"": 5.0}",run_output_8day_rem_w3_s1_stage2_no_pareto,rem_w3_s1_stage2
63,e3c9d63718eea3cc,ok,,"concat: mean, range; even: mean",mean=student_t; range=beta,16,5.0,6,1,2,310.5830863602864,310.5830863602864,10.35276954534288,3.45092318178096,0.0098406716124122,3.45092318178096,0.0098406716124122,-621.664895827688,1.0,1670.0,1853.0,0.9514246175414576,0,5,0.4687098162834586,0.2958333704399761,5.212655418289664,0.7859019614203074,4.291078021707719,4.681310335219531,5.171171829237247,0.0280710251743283,0.647446547687525,0,False,,False,3,3,30,0,[],34.37985973700415,"(30, 152)",,[],"{""feature_selection"": {""concat"": [""mean"", ""range""], ""even"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""beta""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 6}, ""tau_threshold"": 5.0}",run_output_8day_rem_w6_s1_stage2_no_pareto,rem_w6_s1_stage2
162,e7f7ab3661c05e0b,ok,,"concat: mean; even: mean, range; odd: mean",mean=lognormal; range=lognormal,16,5.0,2,1,2,413.8591478508278,413.8591478508278,13.795304928360927,3.4488262320902305,0.0153904428566225,3.4488262320902305,0.0153904428566225,-830.848353632501,1.0,1223.0,1357.0,0.9978728239531832,0,7,0.7308112718116946,0.98591435447233,6.904310262197692,0.5163040140667606,6.180826484437056,6.464642385991953,6.748458287546848,0.9092814950170092,1.8959146311148776,5,False,,False,4,4,30,0,[],16.999192024988588,"(30, 184)",,[],"{""feature_selection"": {""concat"": [""mean""], ""even"": [""mean"", ""range""], ""odd"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}, ""range"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
175,b1a8dc695cf32c9b,ok,,"concat: mean; even: range; odd: mean, range",mean=student_t; range=beta,16,5.0,3,1,2,413.7953655881515,413.7953655881515,13.793178852938384,3.448294713234597,0.0116549558579775,3.448294713234597,0.0116549558579775,-825.4293212981535,1.01,283.0,217.0,1.0687378955627536,0,8,0.4411877067450289,0.8456999519379458,7.041916752229282,1.745974263004706,6.387657302462233,7.276005243476426,7.638002621738213,0.7875964414523167,1.069924619552422,2,False,,False,4,4,30,0,[],65.34638237801846,"(30, 176)",,[],"{""feature_selection"": {""concat"": [""mean""], ""even"": [""range""], ""odd"": [""mean"", ""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""beta""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 3}, ""tau_threshold"": 5.0}",run_output_8day_rem_w3_s1_stage2_no_pareto,rem_w3_s1_stage2
198,a61d1fcccf2cf485,ok,,"concat: mean, range; even: mean, range; odd: mean",mean=lognormal; range=lognormal,16,5.0,2,1,2,517.1456397977697,517.1456397977697,17.23818799325899,3.447637598651798,0.013109260153856,3.447637598651798,0.013109260153856,-1031.3323852405515,1.0,2670.0,2550.0,1.0408295985396243,0,7,0.8734537479877462,0.9988580054861848,6.956099969579454,0.2397440578463643,6.214119389436651,6.477812621797265,6.741505854157879,0.9530004595869116,1.7097642982504675,3,False,,False,5,5,30,0,[],20.32985193002969,"(30, 184)",,[],"{""feature_selection"": {""concat"": [""mean"", ""range""], ""even"": [""mean"", ""range""], ""odd"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}, ""range"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
176,913b40e258a4ed11,ok,,"concat: mean; even: range; odd: mean, range",mean=student_t; range=lognormal,16,5.0,2,1,2,413.5997090699028,413.5997090699028,13.78665696899676,3.4466642422491893,0.0120902210558567,3.4466642422491893,0.0120902210558567,-826.6272764752608,1.01,673.0,741.0,1.0238971025307857,0,8,0.3280006542544668,0.8835368720349016,7.147251588022888,1.37429875962311,6.258280084016264,7.163760760253183,7.581880380126591,0.8029586992455091,0.9498681060600684,2,False,,False,4,4,30,0,[],48.847070859977975,"(30, 184)",,[],"{""feature_selection"": {""concat"": [""mean""], ""even"": [""range""], ""odd"": [""mean"", ""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
86,01a38bb238018333,ok,,concat: mean; even: mean; odd: range,mean=student_t; range=lognormal,16,5.0,6,1,2,310.0448963565126,310.0448963565126,10.33482987855042,3.444943292850139,0.0084597799198884,3.444943292850139,0.0084597799198884,-620.0849038827783,1.0,1408.0,2107.0,1.0090238458748175,0,8,0.5190687208032718,0.9836381742412144,7.571999305304986,0.7743481908151852,6.754246635158684,7.286169993979556,7.643084996989778,0.90208448781678,0.4768426073182899,0,False,,False,3,3,30,0,[],29.741869213001337,"(30, 152)",,[],"{""feature_selection"": {""concat"": [""mean""], ""even"": [""mean""], ""odd"": [""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 6}, ""tau_threshold"": 5.0}",run_output_8day_rem_w6_s1_stage2_no_pareto,rem_w6_s1_stage2
