e_tau,tau_hdi_60_width,elpd_loo,elpd_loo_per_feature_event,n_events,r_hat_max,ess_min_bulk,arm,seed
4.159652178923319,2.7585969228811655,218.261555594242,3.2097287587388528,34,1.0,inf,real_dates,
3.927869414475085,1.3324702871997105,218.69373452190632,3.2160843312045047,34,1.0,inf,shuffle_dates_proxy_row_shuffle_within_rat,0.0
3.9358006686641858,1.5219429500103545,217.44116789863088,3.1976642338033954,34,1.0,inf,shuffle_dates_proxy_row_shuffle_within_rat,1.0
4.261342599812823,3.3478932567936903,218.7236019999005,3.216523558822066,34,1.0,inf,shuffle_dates_proxy_row_shuffle_within_rat,2.0
