slice,n,mean,median,frac_le_2_05
"IIB, все",366,5.479865383249372,5.597855204085886,0.0
"IIB, mean+range",324,5.5526779044973384,5.690608979793231,0.0
"IIB, range-only",42,4.918168790765056,4.842187854408885,0.0
mean-only (без range),84,5.779649534128161,5.800912146128773,0.0
