features,likelihoods,n_points,overlap,range_lik,e_tau,has_mean,has_range
"daily: mean, range; day: range",mean=student_t; range=beta,24,0.0,beta,6.542009275694733,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0002793023342544,True,True
"daily: mean, range; night: mean",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0008136196724298,True,True
daily: range,range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.000506219111421,False,True
daily: range; day: mean,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000236642328077,True,True
daily: range; day: mean,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0007043640500024,True,True
"daily: mean, range; day: mean",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.044011548861272,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.264130960379818,True,True
daily: range; day: range,range=beta,24,0.25,beta,3.3426570188926856,False,True
"daily: mean, range; day: range",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.11326771335798,True,True
"daily: mean, range; day: range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.1129413723112997,True,True
"daily: mean, range; day: range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.751611553284505,True,True
daily: range; day: range; night: range,range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.00000000405422,False,True
"daily: mean, range; day: range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,6.884682042704364,True,True
daily: range; day: range,range=zero_inflated_beta,24,0.5,zero_inflated_beta,5.825654195840156,False,True
"daily: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.238347068285656,True,True
"daily: mean, range; day: range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,6.684886320609528,True,True
"daily: mean, range; day: range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.8447177207575445,True,True
daily: range; day: range,range=beta,24,0.5,beta,5.976717010045346,False,True
daily: range; day: range,range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.169821399569048,False,True
"daily: mean, range; night: range",mean=student_t; range=beta,24,0.0,beta,2.073449808352354,True,True
daily: range; day: range,range=beta_constrained,24,0.0,beta_constrained,6.184967174841945,False,True
daily: range; day: range,range=interval_inflated_beta,24,0.5,interval_inflated_beta,4.298234131155329,False,True
daily: range; day: range,range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.54246537194507,False,True
"daily: mean, range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.7028279054603255,True,True
"daily: mean, range; night: range",mean=skew_normal; range=beta,24,0.0,beta,2.473610235934787,True,True
"daily: mean, range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.5622370309909215,True,True
"daily: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.847905827950724,True,True
daily: range; day: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.377763737221388,True,True
daily: range; day: range,range=beta_constrained,24,0.25,beta_constrained,4.46121414419392,False,True
"daily: mean, range; day: range",mean=skew_normal; range=beta,24,0.25,beta,3.373916909648556,True,True
"daily: mean, range",mean=skew_normal; range=beta,24,0.5,beta,6.588853830596078,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=beta,24,0.0,beta,5.9185336253038745,True,True
"daily: mean, range; day: range",mean=student_t; range=beta,24,0.25,beta,3.653869908914144,True,True
"daily: mean, range",mean=student_t; range=beta,24,0.5,beta,5.533934273306534,True,True
"daily: mean, range; night: mean",mean=student_t; range=beta,24,0.0,beta,4.64833415607827,True,True
daily: range; night: range,range=beta,24,0.0,beta,2.010724197924565,False,True
daily: range; day: range,range=beta_constrained,24,0.5,beta_constrained,4.29400180565418,False,True
"daily: range; day: mean, range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.550973193305473,True,True
daily: mean; day: range,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.97923276222603,True,True
"daily: mean, range; day: range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.1824550803081655,True,True
"daily: mean, range; day: range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.311065468931422,True,True
"daily: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,7.064175942432069,True,True
daily: mean; day: range,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.990422985584737,True,True
daily: mean; day: range,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.043816791429275,True,True
daily: mean; day: range,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.259718622444195,True,True
"daily: mean, range",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,6.065734279266176,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta,24,0.0,beta,5.897048631434321,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta,24,0.0,beta,5.508130540423631,True,True
"daily: mean, range; day: range",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.256907239685041,True,True
"daily: range; day: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,4.479350218809273,True,True
"daily: mean, range",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,3.8648095423639126,True,True
"daily: mean, range; day: range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,5.323171867296014,True,True
"daily: mean, range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,6.639016961272768,True,True
"daily: mean, range; day: range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,5.2580002290231,True,True
daily: range,range=beta_constrained,12,0.0,beta_constrained,6.931943110249807,False,True
daily: range; night: mean,mean=skew_normal; range=beta,24,0.0,beta,2.7577313350669823,True,True
"daily: mean, range; day: range",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,5.7236460587137765,True,True
daily: range; night: range,range=zero_inflated_beta,24,0.25,zero_inflated_beta,6.335159888710782,False,True
daily: mean; day: range,mean=student_t; range=beta,24,0.0,beta,6.607466516582711,True,True
"daily: mean, range; day: range",mean=skew_normal; range=beta,24,0.5,beta,6.421841174629195,True,True
"daily: range; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000000000007198,True,True
daily: mean; day: range,mean=skew_normal; range=beta,24,0.0,beta,6.653387432616115,True,True
daily: mean; day: range,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,6.8883945048065245,True,True
daily: range,range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.670365571984203,False,True
"daily: mean, range; day: range",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,7.208113261032478,True,True
"daily: mean, range; day: range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.227155878402222,True,True
"daily: mean, range; day: range",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,6.195337058371279,True,True
"daily: mean, range; night: range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.0166185874541607,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.847350928648988,True,True
"daily: mean, range; night: range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,7.854914939463018,True,True
day: range,range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.346303335620003,False,True
daily: range; day: range; night: range,range=beta,24,0.0,beta,2.185092782726737,False,True
"daily: mean, range; night: mean",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,4.986115888232495,True,True
"daily: mean, range",mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.000452288905644,True,True
"daily: mean, range; night: range",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,5.85437850456821,True,True
"daily: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.7925889243665365,True,True
"daily: mean, range; night: range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.203173119520001,True,True
"daily: mean, range; day: range",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,4.717981549869776,True,True
"daily: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.999652742443395,True,True
"daily: mean, range; night: mean",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.4122399139990223,True,True
daily: range,range=beta_constrained,12,0.25,beta_constrained,5.624222852367231,False,True
"daily: mean, range; night: mean",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.924958640037695,True,True
daily: range; day: mean; night: range,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000000000000192,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000000000009252,True,True
daily: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.704009244256652,True,True
daily: range; day: range; night: range,range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.705326680655864,False,True
daily: range; day: range; night: mean,mean=student_t; range=beta,24,0.0,beta,4.801422318443108,True,True
daily: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.441626988820278,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta,24,0.0,beta,5.534444890692127,True,True
daily: mean; day: range,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.229697199653174,True,True
daily: mean; day: range,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.542871711530398,True,True
daily: range; day: mean,mean=skew_normal; range=beta,24,0.0,beta,2.925225428411028,True,True
daily: range; day: mean,mean=student_t; range=beta,24,0.0,beta,3.4540750883748847,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.598009428422456,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.059022072682122,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,5.88582922137036,True,True
"daily: mean, range; night: mean",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,5.360828322129655,True,True
"daily: mean, range; day: mean",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.467085493763086,True,True
daily: range; day: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.082047692469528,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,3.991362586081564,True,True
"daily: mean, range; night: range",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.396839627063142,True,True
"daily: mean, range",mean=student_t; range=beta,12,0.0,beta,6.995207931897543,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,4.543438130477002,True,True
daily: range; night: range,range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.002231131852904,False,True
"daily: mean, range",mean=skew_normal; range=beta,12,0.0,beta,6.993025462392874,True,True
daily: range; day: mean; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0003135750778123,True,True
daily: range; day: range; night: range,range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.601522290602303,False,True
daily: range; day: range; night: range,range=beta,24,0.25,beta,4.296158886986142,False,True
day: range,range=beta_constrained,24,0.25,beta_constrained,3.525029278560361,False,True
"daily: range; day: mean, range",mean=skew_normal; range=beta,24,0.0,beta,5.619679696269543,True,True
daily: range; day: mean; night: mean,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0001978514469725,True,True
daily: range; night: range,range=beta,24,0.25,beta,4.722809912473114,False,True
"daily: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.727763786565388,True,True
daily: range,range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.467505119018465,False,True
"daily: mean, range; night: range",mean=student_t; range=beta,24,0.25,beta,4.962133491209404,True,True
daily: mean; day: range,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,4.180968764168406,True,True
"daily: range; day: mean, range",mean=student_t; range=beta,24,0.0,beta,5.467461980540914,True,True
daily: mean; day: range,mean=student_t; range=beta,24,0.25,beta,3.8699301960539496,True,True
"daily: mean, range; night: range",mean=skew_normal; range=beta,24,0.25,beta,5.598339669461924,True,True
day: range,range=beta,24,0.25,beta,3.386412849083104,False,True
"daily: mean, range",mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.925653823047616,True,True
"daily: mean, range; night: range",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.808193344708571,True,True
daily: range; day: range; night: range,range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.609605018861018,False,True
"daily: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.83960125189107,True,True
daily: range; day: range,range=beta_constrained,12,0.25,beta_constrained,5.722349520921511,False,True
daily: range; day: range; night: range,range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.491119283114504,False,True
"daily: mean, range; night: range",mean=skew_normal; range=beta,24,0.5,beta,5.235755625844948,True,True
daily: range; day: range,range=beta,12,0.25,beta,5.742729765150177,False,True
daily: range; day: range,range=beta,12,0.5,beta,4.10208506078792,False,True
daily: mean; day: range,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.239974456240957,True,True
daily: range; day: range,range=beta_constrained,12,0.5,beta_constrained,3.832912827284887,False,True
daily: mean; day: range,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.195878436217102,True,True
"daily: mean, range; day: mean",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,5.628183630279461,True,True
daily: mean; day: range,mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,6.481948725875145,True,True
daily: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.5175382757187643,True,True
daily: range; night: range,range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.570277023946598,False,True
"daily: mean, range; day: mean",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,6.105517199137337,True,True
"daily: range; day: mean, range",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.0654089188284903,True,True
daily: range; day: range; night: range,range=beta_constrained,24,0.0,beta_constrained,2.0000001180904023,False,True
"daily: range; day: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.054044708749685,True,True
daily: range; day: range; night: range,range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.058587894426801,False,True
"daily: mean, range; night: range",mean=student_t; range=beta_constrained,24,0.5,beta_constrained,2.1181383436819226,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.178652360964034,True,True
daily: range; night: range,range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.870145342812235,False,True
daily: range,range=zero_inflated_beta,12,0.5,zero_inflated_beta,3.736732316437996,False,True
"daily: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,24,0.5,interval_inflated_beta,7.259805413506317,True,True
"daily: mean, range; night: range",mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,3.437334967137603,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta,24,0.25,beta,3.1819360990303984,True,True
daily: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.475263078610183,True,True
daily: mean; day: range,mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,3.878761145208623,True,True
daily: range; night: range,range=interval_inflated_beta,24,0.0,interval_inflated_beta,2.6644158270966414,False,True
"daily: mean, range; night: range",mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.002062534049186,True,True
daily: range; day: range; night: range,range=beta_constrained,24,0.25,beta_constrained,7.011915576518724,False,True
daily: range; day: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.980691014282226,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,5.388988834590081,True,True
day: range,range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.112458501296968,False,True
daily: range; day: range; night: mean,mean=student_t; range=beta,24,0.25,beta,3.316427715977432,True,True
daily: mean; day: range; night: range,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.999692564720748,True,True
daily: range; day: mean,mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.358854099076916,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=beta,24,0.25,beta,6.064089188433525,True,True
daily: range; day: mean,mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.590322033973367,True,True
"daily: mean, range; night: range",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.999734161185498,True,True
daily: range; day: range,range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.448460765522244,False,True
daily: range; day: range; night: mean,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,4.439517842647223,True,True
daily: range; day: range,range=zero_inflated_beta,12,0.5,zero_inflated_beta,3.385955038238405,False,True
"daily: mean, range; night: range",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.301845591418741,True,True
"daily: mean, range; night: range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,5.692590578912327,True,True
"daily: mean, range; night: range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,5.9332902843209965,True,True
daily: range; day: range; night: range,range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.065015008281902,False,True
daily: mean; night: range,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000011123517293,True,True
"daily: mean, range; day: range",mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.944153386267923,True,True
"daily: mean, range; day: range",mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.092381637977574,True,True
daily: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.521106223672488,True,True
daily: range; night: range,range=beta_constrained,24,0.25,beta_constrained,7.056329118400937,False,True
daily: range; night: range,range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.109449590737782,False,True
daily: mean; day: range,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,6.008545047704,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.99997384186751,True,True
daily: mean; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0520533393946923,True,True
daily: mean; day: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.999492491409359,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.490585814759129,True,True
daily: mean; day: range; night: range,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.70347159365157,True,True
daily: range; night: range,range=beta_constrained,12,0.0,beta_constrained,7.077064939000181,False,True
daily: mean; day: range,mean=student_t; range=beta,24,0.5,beta,6.00610048137344,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.582387984278253,True,True
daily: range; night: range,range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.19668158042602,False,True
"daily: range; day: mean, range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,6.505419938630044,True,True
daily: mean; day: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.659711081580051,True,True
"daily: range; day: mean, range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.28870213457626,True,True
"daily: mean, range; day: range",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.999259017214879,True,True
daily: range; day: range; night: range,range=interval_inflated_beta,12,0.25,interval_inflated_beta,3.408606080388908,False,True
daily: mean; day: range; night: range,mean=student_t; range=beta,24,0.0,beta,6.123962427071001,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.934677892985994,True,True
"daily: mean, range; day: range",mean=student_t; range=beta,12,0.0,beta,6.999031439568574,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=beta,24,0.0,beta,6.957324627798719,True,True
daily: range; night: range,range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.336796311843725,False,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta,24,0.0,beta,6.408267575567064,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,4.483084249332251,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,5.68705558575245,True,True
daily: range; day: range,range=beta_constrained,12,0.0,beta_constrained,7.009225805246691,False,True
daily: range; day: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,3.6384585543961503,True,True
daily: range; day: range; night: range,range=beta_constrained,12,0.25,beta_constrained,5.202095082478209,False,True
daily: mean; night: range,mean=student_t; range=beta,24,0.0,beta,2.7944436289412637,True,True
daily: mean; day: range; night: mean,mean=student_t; range=beta,24,0.0,beta,6.726793731222376,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,6.940722025084334,True,True
"daily: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.834706166206227,True,True
"daily: range; day: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.468422691054176,True,True
daily: range; day: range; night: range,range=beta,12,0.25,beta,4.876341148276658,False,True
daily: mean; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.874990568914239,True,True
daily: mean; night: range,mean=skew_normal; range=beta,24,0.0,beta,4.453389684214356,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,6.991997610682478,True,True
daily: range; night: range,range=beta_constrained,12,0.25,beta_constrained,5.26449630072692,False,True
daily: mean; night: range,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.196140758416617,True,True
"daily: mean, range; day: range",mean=skew_normal; range=beta,12,0.0,beta,6.993479536447191,True,True
daily: range; night: range,range=beta,12,0.25,beta,4.625789192964602,False,True
"daily: mean, range; night: mean",mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,6.522305395054166,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,4.900293040223223,True,True
daily: mean; day: range; night: mean,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,6.904962482237781,True,True
daily: mean; day: range,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.19245895762519,True,True
"daily: mean, range; night: mean",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,6.220592864032574,True,True
daily: mean; night: range,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.005062106588996,True,True
"daily: mean, range; night: range",mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.1627388520543205,True,True
daily: mean; day: range,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,5.945971774870672,True,True
daily: range; day: range; night: mean,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,4.328824070525178,True,True
daily: range; day: mean,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.504292126032536,True,True
daily: mean; day: range; night: range,mean=student_t; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.404886673167282,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta,24,0.25,beta,3.1922919707594555,True,True
daily: range; day: mean; night: range,mean=skew_normal; range=beta,24,0.0,beta,2.0006850084809336,True,True
daily: range; day: range; night: range,range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.1358506742080205,False,True
daily: range; day: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.126401675794477,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,4.499897719592553,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.904452870035925,True,True
daily: mean; night: range,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.2849098637115475,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.753600076399476,True,True
"daily: mean, range; day: range",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.009446318704561,True,True
"daily: mean, range; day: mean",mean=student_t; range=beta,24,0.25,beta,6.026348563012809,True,True
"daily: mean; day: mean, range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.999565776354384,True,True
daily: range; day: range,range=zero_inflated_beta,12,0.0,zero_inflated_beta,2.0000341374629653,False,True
day: range,range=zero_inflated_beta,24,0.5,zero_inflated_beta,5.976166785279099,False,True
"daily: mean; day: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.999794920326059,True,True
"daily: mean, range; day: range",mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,6.244776803417579,True,True
"daily: mean; day: mean, range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.118962886492835,True,True
daily: range; day: mean,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.673921182740674,True,True
"daily: mean; day: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.352650538898181,True,True
"daily: mean, range; day: range",mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.947809829362239,True,True
"daily: mean, range; day: mean",mean=skew_normal; range=beta,24,0.25,beta,6.149647682466453,True,True
"daily: mean, range; day: range",mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,6.188969947385582,True,True
"daily: mean, range; day: range",mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.990667209194642,True,True
daily: range; day: mean,mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,5.501674702675411,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.573213015552094,True,True
"daily: mean, range; day: range",mean=skew_normal; range=beta,12,0.25,beta,6.15055445177378,True,True
"daily: mean, range; day: range",mean=student_t; range=beta_constrained,12,0.25,beta_constrained,6.137681323275477,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,4.325505439964846,True,True
"daily: mean, range; day: range",mean=student_t; range=beta,12,0.25,beta,6.091377319764575,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,5.658705411401121,True,True
"daily: mean, range; night: mean",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,3.946710398817277,True,True
"daily: mean, range",mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,6.620763658088851,True,True
daily: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.106837182566292,True,True
daily: range; day: range; night: range,range=zero_inflated_beta,12,0.25,zero_inflated_beta,3.943464277590399,False,True
