features,likelihoods,n_points,overlap,range_lik,e_tau,has_mean,has_range
day: range,range=beta,12,0.25,beta,5.314481878729751,False,True
daily: range; night: range,range=beta_constrained,12,0.5,beta_constrained,2.000302587457756,False,True
"daily: mean, range; night: range",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.0477936034866415,True,True
"daily: mean, range; night: range",mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.998208503948403,True,True
daily: range; day: range; night: range,range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.000004733568248,False,True
daily: range; day: mean,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.25997023222929,True,True
"daily: range; day: mean, range",mean=student_t; range=beta,24,0.25,beta,3.1987714065303097,True,True
day: range,range=zero_inflated_beta,12,0.25,zero_inflated_beta,5.412128276572052,False,True
day: range; night: range,range=beta,12,0.5,beta,2.014720749942376,False,True
daily: range; day: mean; night: range,mean=student_t; range=beta,24,0.0,beta,2.088166812240745,True,True
day: range; night: range,range=beta_constrained,12,0.5,beta_constrained,2.0441078060172204,False,True
daily: range; day: range; night: range,range=beta,12,0.0,beta,7.007421398667274,False,True
daily: range; night: range,range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.029282593371303,False,True
"daily: mean, range",mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,5.91707346960682,True,True
day: range; night: range,range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.0117814127726064,False,True
"daily: mean, range; day: range",mean=student_t; range=beta,12,0.5,beta,4.783787605461828,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,2.0000004522942594,True,True
"daily: range; night: mean, range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.0000002789828297,True,True
day: range; night: range,range=beta_constrained,12,0.25,beta_constrained,4.295516121583023,False,True
"daily: mean, range; night: range",mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,6.3792325355070485,True,True
"daily: mean, range; night: range",mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,6.167640416185407,True,True
day: range; night: range,range=beta,12,0.25,beta,4.212693466357033,False,True
daily: mean; day: range; night: range,mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.849915743024757,True,True
"daily: mean, range; night: range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.81951036715607,True,True
night: range,range=beta,12,0.5,beta,2.0192893764818654,False,True
daily: mean; day: range,mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.765575399930114,True,True
night: range,range=beta_constrained,12,0.5,beta_constrained,2.056612871311246,False,True
"daily: mean, range",mean=student_t; range=beta,12,0.5,beta,5.406563014671205,True,True
"daily: mean, range; night: range",mean=student_t; range=beta,12,0.5,beta,2.000000366750602,True,True
day: range,range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.124428158180578,False,True
"daily: mean, range; night: range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,2.000237343372262,True,True
"daily: mean, range; night: range",mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,2.00001458516382,True,True
daily: range; day: mean; night: range,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.000000410788921,True,True
night: range,range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.048470376353651,False,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta,12,0.5,beta,2.000348241414608,True,True
daily: range; night: mean,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,3.342096279541288,True,True
day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.992934665520026,True,True
daily: mean; night: range,mean=student_t; range=beta_constrained,12,0.0,beta_constrained,6.576280753572375,True,True
daily: mean; night: range,mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,5.109742419687142,True,True
daily: mean; night: range,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,2.963142471656212,True,True
daily: mean; day: range,mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,5.899006805136122,True,True
"daily: mean, range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,6.038213674736729,True,True
daily: mean; day: range,mean=skew_normal; range=beta,12,0.5,beta,5.747627148539965,True,True
daily: mean; night: range,mean=student_t; range=beta,12,0.0,beta,6.45232109242919,True,True
daily: mean; night: range,mean=student_t; range=beta,24,0.5,beta,2.8378761562612995,True,True
day: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.970309542704048,True,True
daily: mean; day: range; night: range,mean=student_t; range=beta_constrained,12,0.25,beta_constrained,5.31359374688679,True,True
daily: mean; day: range,mean=student_t; range=beta,12,0.5,beta,5.271738344357447,True,True
daily: mean; day: range; night: range,mean=skew_normal; range=interval_inflated_beta,12,0.25,interval_inflated_beta,6.519180267355542,True,True
daily: mean; day: range,mean=student_t; range=beta_constrained,12,0.5,beta_constrained,5.711368531637154,True,True
daily: mean; day: range; night: range,mean=student_t; range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.0185642182901957,True,True
daily: mean; night: range,mean=skew_normal; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.923459424536394,True,True
daily: mean; day: range,mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,5.60148174613308,True,True
daily: mean; night: range,mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.576674450350206,True,True
daily: mean; night: range,mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.6267483884610443,True,True
daily: mean; night: range,mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.693163110191767,True,True
daily: mean; day: range,mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.343257356222206,True,True
night: range,range=beta_constrained,12,0.25,beta_constrained,4.178373893360598,False,True
daily: range; day: mean,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,5.67464227785541,True,True
night: range,range=beta,12,0.25,beta,4.277840357663713,False,True
daily: mean; day: range; night: range,mean=skew_normal; range=beta,12,0.0,beta,6.528951216689281,True,True
day: range; night: mean,mean=skew_normal; range=beta,24,0.0,beta,6.42281223577908,True,True
day: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.126087414400291,True,True
night: range,range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.863112136846239,False,True
day: range; night: mean,mean=student_t; range=beta,24,0.0,beta,5.726491795628136,True,True
night: range,range=zero_inflated_beta,12,0.25,zero_inflated_beta,4.037301355904589,False,True
day: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,6.883944671817208,True,True
daily: mean; day: range,mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.203877378229391,True,True
daily: mean; day: mean; night: range,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.102394243749785,True,True
night: range,range=beta_constrained,12,0.0,beta_constrained,5.876810814949092,False,True
night: range,range=beta,12,0.0,beta,6.232277007972706,False,True
day: range; night: range,range=beta_constrained,24,0.0,beta_constrained,2.000135944989041,False,True
"daily: mean, range; night: mean",mean=student_t; range=beta,12,0.0,beta,7.004135370282809,True,True
"daily: range; night: mean, range",mean=student_t; range=zero_inflated_beta,12,0.0,zero_inflated_beta,7.003513581420667,True,True
"daily: mean, range; night: mean",mean=skew_normal; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.805012832632215,True,True
night: range,range=interval_inflated_beta,12,0.0,interval_inflated_beta,4.7280274580627815,False,True
night: range,range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.073586428307529,False,True
day: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.25,beta_constrained,3.530746172659162,True,True
daily: mean; night: range,mean=skew_normal; range=beta,12,0.5,beta,2.0006261895837816,True,True
daily: mean; night: range,mean=skew_normal; range=zero_inflated_beta,12,0.25,zero_inflated_beta,6.391115248403705,True,True
daily: mean; night: range,mean=student_t; range=beta,12,0.25,beta,5.019168517735867,True,True
daily: mean; night: range,mean=student_t; range=zero_inflated_beta,12,0.25,zero_inflated_beta,4.758297517869347,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.5,zero_inflated_beta,6.447122934992765,True,True
daily: mean; night: range,mean=student_t; range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.1122889792425377,True,True
daily: mean; night: range,mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.173823204785895,True,True
daily: range; day: mean,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,3.626863438186105,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta,12,0.0,beta,7.0322685605347885,True,True
daily: range; day: range; night: mean,mean=student_t; range=beta,12,0.0,beta,6.999401048650048,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta,12,0.0,beta,7.001806764268284,True,True
night: range,range=beta_constrained,24,0.5,beta_constrained,2.8524850383056566,False,True
"daily: range; night: mean, range",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.116006730234728,True,True
night: range,range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000048359862413,False,True
night: range,range=beta,24,0.5,beta,2.925393086641693,False,True
"daily: range; night: mean, range",mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,7.135705338146037,True,True
daily: range; day: range; night: mean,mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.016915000722043,True,True
daily: range; night: mean,mean=student_t; range=beta,12,0.0,beta,6.959880192189696,True,True
daily: range; night: mean,mean=skew_normal; range=beta,12,0.0,beta,7.004957124804291,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,7.017416643526524,True,True
"daily: range; day: mean, range",mean=skew_normal; range=beta,12,0.0,beta,6.994159914513102,True,True
night: range,range=interval_inflated_beta,24,0.5,interval_inflated_beta,3.952995417604275,False,True
night: range,range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.5353165184937345,False,True
"day: range; night: mean, range",mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,2.493084883421366,True,True
day: range; night: mean,mean=student_t; range=interval_inflated_beta,24,0.5,interval_inflated_beta,3.189742010220427,True,True
daily: range; day: range; night: mean,mean=student_t; range=beta,12,0.25,beta,6.136496967795601,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=beta_constrained,12,0.25,beta_constrained,6.4314371508608,True,True
daily: range; day: mean; night: range,mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.073666379121881,True,True
"day: mean, range; night: mean",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,6.799951370138443,True,True
daily: range; night: mean,mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.044377952769807,True,True
"day: mean, range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,3.392282867120116,True,True
"day: mean, range",mean=student_t; range=beta,24,0.25,beta,3.296444367628677,True,True
night: range,range=beta,24,0.0,beta,2.0745271355219623,False,True
day: range; night: mean,mean=skew_normal; range=beta_constrained,24,0.5,beta_constrained,5.554211685457791,True,True
day: range; night: mean,mean=student_t; range=beta,24,0.5,beta,5.672955867814392,True,True
daily: range; day: mean,mean=student_t; range=beta,12,0.0,beta,6.998901426202464,True,True
"daily: mean; night: mean, range",mean=student_t; range=beta,24,0.5,beta,2.639375537280371,True,True
"daily: mean; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.802412782863094,True,True
"night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000000289757896,True,True
daily: range; day: mean,mean=student_t; range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.820867936493526,True,True
"daily: range; night: mean, range",mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,2.000956466493951,True,True
night: range,range=interval_inflated_beta,24,0.0,interval_inflated_beta,3.930656198749373,False,True
"day: range; night: mean, range",mean=skew_normal; range=beta,12,0.5,beta,2.0002035214545324,True,True
"daily: mean; night: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.0,zero_inflated_beta,6.7854361581563385,True,True
"daily: mean; night: mean, range",mean=student_t; range=beta,12,0.0,beta,6.643577691346955,True,True
"daily: range; night: mean, range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,2.0000872593653347,True,True
"daily: mean; night: mean, range",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,6.7703174921391645,True,True
"daily: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.000021579057674,True,True
"day: mean, range; night: range",mean=student_t; range=beta_constrained,12,0.25,beta_constrained,4.719844685390644,True,True
"day: range; night: mean, range",mean=skew_normal; range=beta_constrained,12,0.5,beta_constrained,2.053198408199178,True,True
"night: mean, range",mean=student_t; range=beta,24,0.0,beta,2.052431108102572,True,True
daily: mean; day: range; night: mean,mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.506968930172176,True,True
"day: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,12,0.5,zero_inflated_beta,2.0193792409363254,True,True
"day: mean, range; night: range",mean=student_t; range=beta,12,0.5,beta,2.0001343589507807,True,True
"day: range; night: mean, range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,2.032800831769064,True,True
"day: mean, range; night: range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,2.0947932452073874,True,True
"day: mean, range; night: mean",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,3.4077426340537817,True,True
daily: mean; day: mean; night: range,mean=student_t; range=beta_constrained,24,0.5,beta_constrained,2.994134730356734,True,True
day: mean; night: range,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0037524874849493,True,True
"day: mean; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0000000361275285,True,True
daily: mean; day: range; night: mean,mean=student_t; range=interval_inflated_beta,12,0.25,interval_inflated_beta,5.6086459735613925,True,True
daily: mean; day: range; night: mean,mean=student_t; range=beta,12,0.25,beta,5.990887945464184,True,True
